Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2022-02-20	2021-12	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	IT	0	0.00187900
2022-02-20	2021-12	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	US	0	0.00153900
2022-02-20	2021-12	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	AU	0	0.00310100
2022-02-25	2021-12	Spotify	laikd	Monster	QZMEQ2103063	196397144486	7	100	Song	CA	0	0.01556251
2022-02-25	2021-12	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	AR	0	0.00141049
2022-02-25	2021-12	Spotify	laikd	Monster	QZMEQ2103063	196397144486	11	100	Song	SK	0	0.03708926
2022-02-25	2021-12	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	RS	0	0.00014262
2022-02-25	2021-12	Spotify	laikd	Monster	QZMEQ2103063	196397144486	57	100	Song	SE	0	0.23220683
2022-02-25	2021-12	Spotify	laikd	Monster	QZMEQ2103063	196397144486	4	100	Song	NO	0	0.02933384
2022-02-25	2021-12	Spotify	laikd	Monster	QZMEQ2103063	196397144486	2	100	Song	IL	0	0.00098599
2022-02-25	2021-12	Spotify	laikd	Monster	QZMEQ2103063	196397144486	3	100	Song	DE	0	0.01534802
2022-02-25	2021-12	Spotify	laikd	Monster	QZMEQ2103063	196397144486	10	100	Song	FI	0	0.07084434
2022-02-25	2021-12	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	RU	0	0.00054016
2022-02-25	2021-12	Spotify	laikd	Monster	QZMEQ2103063	196397144486	2	100	Song	ID	0	0.00010332
2022-02-25	2021-12	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	DK	0	0.00331621
2022-02-25	2021-12	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	IN	0	0.00009200
2022-02-25	2021-12	Spotify	laikd	Monster	QZMEQ2103063	196397144486	18	100	Song	US	0	0.07782001
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	CA	0	0.00589013
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	3	100	Song	ES	0	0.00746794
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	43	100	Song	DE	0	0.08740744
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	PK	0	0.00009096
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	BR	0	0.00161599
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	CZ	0	0.00157444
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	52	100	Song	SE	0	0.20408471
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	TR	0	0.00033690
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	3	100	Song	MX	0	0.00546114
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	NL	0	0.00518937
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	ZA	0	0.00116006
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	CL	0	0.00279851
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	NZ	0	0.00244589
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	RO	0	0.00018080
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	NO	0	0.00733318
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	HU	0	0.00011230
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	PL	0	0.00093209
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	4	100	Song	ID	0	0.00020663
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	8	100	Song	SK	0	0.02697329
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	AU	0	0.00454814
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	5	100	Song	GB	0	0.03115915
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	BY	0	0.00000900
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	KR	0	0.00604100
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	16	100	Song	IN	0	0.00147600
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	UA	0	0.00004300
2022-02-25	2021-12	Spotify	laikd	Useless	QZMEQ2166616	196400733881	16	100	Song	US	0	0.07964701
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	2	100	Song	BR	0	0.00366659
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	1	100	Song	CH	0	0.00584184
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	70	100	Song	SE	0	0.33920946
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	4	100	Song	DK	0	0.02535842
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	3	100	Song	AU	0	0.01105255
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	2	100	Song	NO	0	0.01466636
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	11	100	Song	CA	0	0.02650051
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	2	100	Song	ID	0	0.00111065
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	5	100	Song	DE	0	0.02557965
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	1	100	Song	MX	0	0.00209215
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	1	100	Song	IL	0	0.00049300
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	1	100	Song	LK	0	0.00008086
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	6	100	Song	JP	0	0.00158904
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	1	100	Song	ES	0	0.00038519
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	1	100	Song	ZA	0	0.00229653
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	1	100	Song	BE	0	0.00275471
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	1	100	Song	AR	0	0.00121396
2022-02-25	2021-12	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	43	100	Song	US	0	0.18354302
2022-02-20	2021-12	YouTube (Ads)	laikd	Roll The Dice (feat. Rat Kings)	QZRP42159116	196620740065	1	100	Song	SE	0	0.01372000
2022-02-20	2021-12	YouTube (Red)	laikd	Roll The Dice (feat. Rat Kings)	QZRP42159116	196620740065	5	100	Song	DK	0	0.06608000
2022-02-25	2021-12	Spotify	laikd	Roll The Dice (feat. Rat Kings)	QZRP42159116	196620740065	2661	100	Song	SE	0	12.91120895
2022-02-25	2021-12	Spotify	laikd	Roll The Dice (feat. Rat Kings)	QZRP42159116	196620740065	1130	100	Song	DK	0	5.69104598
2022-02-25	2021-12	Spotify	laikd	Roll The Dice (feat. Rat Kings)	QZRP42159116	196620740065	26	100	Song	DE	0	0.09805122
2022-02-25	2021-12	Spotify	laikd	Roll The Dice (feat. Rat Kings)	QZRP42159116	196620740065	13	100	Song	FI	0	0.08257967
2022-02-25	2021-12	Spotify	laikd	Roll The Dice (feat. Rat Kings)	QZRP42159116	196620740065	10	100	Song	NL	0	0.02798624
2022-02-25	2021-12	Spotify	laikd	Roll The Dice (feat. Rat Kings)	QZRP42159116	196620740065	1767	100	Song	NO	0	9.71839821
2022-02-25	2021-12	Spotify	laikd	Roll The Dice (feat. Rat Kings)	QZRP42159116	196620740065	3	100	Song	TW	0	0.00263792
2022-02-25	2021-12	Spotify	laikd	Roll The Dice (feat. Rat Kings)	QZRP42159116	196620740065	2	100	Song	MX	0	0.00170808
2022-02-25	2021-12	Spotify	laikd	Roll The Dice (feat. Rat Kings)	QZRP42159116	196620740065	2	100	Song	NZ	0	0.00561724
2022-02-25	2021-12	Spotify	laikd	Roll The Dice (feat. Rat Kings)	QZRP42159116	196620740065	4	100	Song	IT	0	0.01113228
2022-02-25	2021-12	Spotify	laikd	Roll The Dice (feat. Rat Kings)	QZRP42159116	196620740065	3	100	Song	RU	0	0.00288835
2022-02-25	2021-12	Spotify	laikd	Roll The Dice (feat. Rat Kings)	QZRP42159116	196620740065	95	100	Song	IS	0	0.64010335
2022-02-25	2021-12	Spotify	laikd	Roll The Dice (feat. Rat Kings)	QZRP42159116	196620740065	1	100	Song	SK	0	0.00150145
